section,field,value
meta,agent_id,dfd024ee-bb51-4e48-9e2e-fb8fbc5f80ea
meta,event_name,Harmony of Hardcore
meta,chart_source,local
meta,charts_generated,True
variable,event_name,Harmony of Hardcore
variable,conversations_total,9944
variable,avg_sentiment_label,neutraal
variable,dominant_mood,verlangen
variable,date_range,8 mei – 16 jun
variable,messages_total,41381
variable,pct_resolved,95
variable,pct_referred,5
variable,avg_start_stars,3
variable,avg_end_stars,3.1
variable,channel_whatsapp_count,7270
variable,channel_chat_count,2674
variable,channel_instagram_count,0
variable,avg_stars,3
variable,avg_delta_stars,0.1
variable,peak_day_name,24 mei
variable,peak_day_count,2650
variable,peak_day_label,zondag
variable,avg_conversations_per_day,248.6
variable,peak_hour,13:00
variable,peak_hour_avg,22.6
variable,peak_hour_range,13:00–14:00
variable,peak_period_label,middagpiek
variable,channel_whatsapp_pct,73
variable,channel_chat_pct,27
variable,channel_instagram_pct,0
variable,sentiment_whatsapp,3
variable,sentiment_chat,3
variable,sentiment_instagram,—
variable,dominant_channel,WhatsApp
variable,dominant_channel_pct,73
variable,highest_sentiment_channel,WhatsApp
variable,highest_sentiment_score,3
variable,pct_trajectory_improving,10
variable,pct_trajectory_declining,2
variable,pct_trajectory_mixed,2
variable,total_unanswered_questions,943
variable,pct_unanswered,5
variable,unanswered_insight,"936 van 943 onbeantwoorde vragen (99%) hadden een onvoldoende respons — dat is 5% van alle vragen van mensen. Verrijk de kennisbank zodat de agent de vraag volledig afdekt. Voorbeeld: ""Wat zegt een duif""."
variable,answered_questions_insight,De meest gestelde vraag (“Hoe kom ik bij het festival? 🚌”) kwam 110× voor en werd door de agent beantwoord. In totaal 18 unieke vragen (552×) werden goed afgehandeld — sterke kandidaten voor FAQ en agent-training.
variable,unanswered_no_reply_count,7
variable,unanswered_weak_answer_count,936
variable,unanswered_semantic_count,0
variable,pct_depth_shallow,82
variable,pct_depth_medium,17
variable,pct_depth_deep,2
variable,median_response_fmt,5s
variable,avg_first_response_fmt,11s
variable,p95_response_fmt,9s
variable,avg_depth_ratio,1
variable,lowest_sentiment_channel,WhatsApp
variable,lowest_sentiment_score,3
variable,stats_conversations_total,9.945
variable,stats_hours_saved,829
variable,stats_support_cost_saved,€21k
variable,stats_assisted_revenue,—
variable,stats_direct_revenue,—
variable,stats_total_value,€21k
variable,stats_pct_outside_office,70.1
fragment,channels_sentence,WhatsApp en Chat
fragment,channel_pills,WhatsApp 7270 Chat 2674
fragment,channel_breakdown_rows,WhatsApp 7270 73% Chat 2674 27%
fragment,channel_sentiment_cols,3 / 5 WhatsApp 3 / 5 Chat
fragment,chart_slide2_inner,0 662 1324 1986 2648 Piek: 24 mei 8 mei 14 mei 20 mei 26 mei 1 jun 7 jun 16 jun
fragment,chart_slide3_inner,00 04 08 12 16 20 piek
fragment,chart_slide4_inner,1★ 2★ 3★ 4★ 5★ bericht 1 3 5 7 9 10
fragment,chart_slide5_inner,Tijdens kantooruren 29.9% · 2.970 Na kantooruren 20.2% · 2.011 Nacht 11.9% · 1.179 Weekend 38.1% · 3.784
fragment,unanswered_examples_page1,"""Wat zegt een duif"" ""Kan ik mijn munten terugsturen en geld terug krijgen"" ""Wat mag ik meenemen? 🎒"" ""Qui sont les artistes programmés ? 🎤"" ""Hoe laat is het afgelopen"" ""Is gewoon adverteren voor niks"" ""Kan het niet vinden"" ""Hoeveel kaarten zijn er?"" ""wat een kut systeem!"" ""You mean 28 mei?"" ""Wat kost een larkeericket"" ""No hay posibilidad de entradas vip??"" ""Ou ce situe le site ?"" ""Wer ist dabei? 🎤"" ""Hoe word ik ambassadeur"" ""Volgend jaar doen? 🤭🕺"" ""Why can I not order?"" ""Is er nog restock van ..."
fragment,unanswered_examples_page2,"""Wat een tijdverspilling. Voorboiet snot naar een wachtrij kijken. Mij nooit meer mailen met deze on…"" ""Kam gevonden?"" ""stond headhunterz op de line up?"" ""Hoe kan het zo zijn dat er eerst 10 minuten wachttijd stond en nu opeens 1uur?"" ""Moet ik halen?"" ""in email of whatsapp?"" ""Wat is dit voor onzin ? 1 minuut wachtrij en daarna meer dan een uur ????"" ""Toch wel?"" ""Und wie viele Tage ?"" ""oq vc acha do chatgpt?"" ""e sobre o gemini ent?"" ""e o chatgpt?"" ""e o gemini?"" ""quais os patrocinadores do fest..."
fragment,answered_questions_grid,"Vraag #1 110× ""Hoe kom ik bij het festival? 🚌"" Vraag #2 93× ""Wat mag ik meenemen"" Vraag #3 78× ""Waar kan ik tickets kopen? 🎟️"" Vraag #4 56× ""Wat zijn de festivalregels? 📋"" Vraag #5 35× ""Comment me rendre au festival ? 🚌"" Vraag #6 26× ""Wie komme ich zum Festival? 🚌"" Vraag #7 19× ""Où puis-je acheter des billets ? 🎟️"" Vraag #8 18× ""Mag ik zonnebrand meenemen"" Vraag #9 18× ""Welche Festivalregeln gelten? 📋"" Vraag #10 17× ""Que puis-je apporter ? 🎒"" Vraag #11 16× ""Wo kann ich Tickets kaufen? 🎟️"" Vra..."
daily_conversations,2026-05-08,18
daily_conversations,2026-05-09,30
daily_conversations,2026-05-10,35
daily_conversations,2026-05-11,55
daily_conversations,2026-05-12,62
daily_conversations,2026-05-13,57
daily_conversations,2026-05-14,85
daily_conversations,2026-05-15,63
daily_conversations,2026-05-16,89
daily_conversations,2026-05-17,117
daily_conversations,2026-05-18,237
daily_conversations,2026-05-19,246
daily_conversations,2026-05-20,354
daily_conversations,2026-05-21,318
daily_conversations,2026-05-22,771
daily_conversations,2026-05-23,835
daily_conversations,2026-05-24,2650
daily_conversations,2026-05-25,2380
daily_conversations,2026-05-26,1233
daily_conversations,2026-05-27,91
daily_conversations,2026-05-28,51
daily_conversations,2026-05-29,25
daily_conversations,2026-05-30,16
daily_conversations,2026-05-31,22
daily_conversations,2026-06-01,12
daily_conversations,2026-06-02,13
daily_conversations,2026-06-03,9
daily_conversations,2026-06-04,12
daily_conversations,2026-06-05,7
daily_conversations,2026-06-06,4
daily_conversations,2026-06-07,4
